categoria,cat_principal,nombre,ean,precio,precio_texto,fecha
Limpieza,Limpieza,almohada palette urban,7794170052282,28116.0,"$28.116,00",20260901
Limpieza,Limpieza,amoladora 115 mm 950,6934097747163,67892.0,"$67.892,00",20260901
Limpieza,Limpieza,antidesliznte,7797130000248,5512.0,"$5.512,00",20260901
Limpieza,Limpieza,asadera cuadrada 25.5 granito carol,7792281017718,13149.86,"$13.149,86",20260901
Limpieza,Limpieza,asadera de vidrio cuadrada ocuisine,3426470262538,12157.0,"$12.157,00",20260901
Limpieza,Limpieza,asadera n 4,7790351152048,20726.0,"$20.726,00",20260901
Limpieza,Limpieza,asadera oval,7790351152024,14950.0,"$14.950,00",20260901
Limpieza,Limpieza,asadera rectangular 33 granit carol,7792281017565,13989.33,"$13.989,33",20260901
Limpieza,Limpieza,atomizador de aceite crystal rock,7820190141382,18610.5,"$18.610,50",20260901
Limpieza,Limpieza,automate,5460472,19471.0,"$19.471,00",20260901
Limpieza,Limpieza,azucarera,4068407302451,3946.0,"$3.946,00",20260901
Limpieza,Limpieza,azucarera,7790691048100,10505.0,"$10.505,00",20260901
Limpieza,Limpieza,bagui con 2 bolsillos combinado 16,2700004133589,19032.86,"$19.032,86",20260901
Limpieza,Limpieza,bagui corderoy,2700004164422,20587.55,"$20.587,55",20260901
Limpieza,Limpieza,balde 8.5,7896359002863,8181.0,"$8.181,00",20260901
Limpieza,Limpieza,balde de plastico gemplast x 12 lt.,7793762080511,4208.0,"$4.208,00",20260901
Limpieza,Limpieza,balde hielo,6932584121731,6019.0,"$6.019,00",20260901
Limpieza,Limpieza,balde para hielo,7792579009029,3200.0,"$3.200,00",20260901
Limpieza,Limpieza,balde san remo oba x 8 litros,7896359012237,8037.61,"$8.037,61",20260901
Limpieza,Limpieza,bandeja acaciamarmol,7792281032261,56390.05,"$56.390,05",20260901
Limpieza,Limpieza,bandeja bambu verde 40 x 18 cm,7792281022736,27286.43,"$27.286,43",20260901
Limpieza,Limpieza,bandeja cuadrada 25 x 25 cm verde,7792281022750,28060.04,"$28.060,04",20260901
Limpieza,Limpieza,bandeja cuadrada 30 x 30 cm verde,7792281022743,35768.1,"$35.768,10",20260901
Limpieza,Limpieza,bandeja de bambu 20 x 20 cm verde,7792281022767,21123.61,"$21.123,61",20260901
Limpieza,Limpieza,bandeja de madera color blanca,742779498052,14774.1,"$14.774,10",20260901
